source,native_id,name,team_name,team_norm,team_cluster,cluster_id
fotmob,1157237,Christos Tzolis,Arsenal,arsenal,arsenal,new_2026_0
opta,439509,Christos Tzolis,Arsenal,arsenal,arsenal,new_2026_0
whoscored,399296,Christos Tzolis,Arsenal,arsenal,arsenal,new_2026_0
fotmob,1254234,Ethan Nwaneri,Arsenal,arsenal,arsenal,new_2026_1
opta,499175,Ethan Nwaneri,Arsenal,arsenal,arsenal,new_2026_1
fotmob,766062,Michele Di Gregorio,Bournemouth,bournemouth,bournemouth,new_2026_10
fotmob,1250485,Tarik Muharemovic,Leeds United,leeds united,leeds,new_2026_100
opta,522047,Tarik Muharemovic,Leeds,leeds,leeds,new_2026_100
whoscored,439533,Tarik Muharemovic,Leeds,leeds,leeds,new_2026_100
fotmob,279481,Alex Cairns,Leeds United,leeds united,leeds,new_2026_101
fotmob,1473534,Jérémy Jacquet,Liverpool,liverpool,liverpool,new_2026_102
opta,606702,Jérémy Jacquet,Liverpool,liverpool,liverpool,new_2026_102
whoscored,468827,Jérémy Jacquet,Liverpool,liverpool,liverpool,new_2026_102
opta,214285,Kostas Tsimikas,Liverpool,liverpool,liverpool,new_2026_103
whoscored,301455,Kostas Tsimikas,Liverpool,liverpool,liverpool,new_2026_103
fotmob,1364042,Lewis Koumas,Liverpool,liverpool,liverpool,new_2026_104
opta,514514,Lewis Koumas,Liverpool,liverpool,liverpool,new_2026_104
whoscored,492374,Lewis Koumas,Liverpool,liverpool,liverpool,new_2026_104
fotmob,921253,Ronald Araujo,Liverpool,liverpool,liverpool,new_2026_105
opta,445087,Ronald Araujo,Liverpool,liverpool,liverpool,new_2026_105
whoscored,384711,Ronald Araujo,Liverpool,liverpool,liverpool,new_2026_105
fotmob,1553105,Víctor Muñoz,Liverpool,liverpool,liverpool,new_2026_106
opta,551499,Víctor Muñoz,Liverpool,liverpool,liverpool,new_2026_106
whoscored,548106,Víctor Muñoz,Liverpool,liverpool,liverpool,new_2026_106
whoscored,509423,Trey Nyoni,Liverpool,liverpool,liverpool,new_2026_107
fotmob,1561552,Ayyoub Bouaddi,Manchester City,manchester city,manchester city,new_2026_108
opta,637238,Ayyoub Bouaddi,Manchester City,manchester city,manchester city,new_2026_108
whoscored,504830,Ayyoub Bouaddi,Manchester City,manchester city,manchester city,new_2026_108
fotmob,1682403,Kaden Braithwaite,Manchester City,manchester city,manchester city,new_2026_109
opta,554054,Kaden Braithwaite,Manchester City,manchester city,manchester city,new_2026_109
whoscored,540462,Kaden Braithwaite,Manchester City,manchester city,manchester city,new_2026_109
fotmob,1572340,Jannik Schuster,Brentford,brentford,brentford,new_2026_11
opta,513086,Jannik Schuster,Brentford,brentford,brentford,new_2026_11
whoscored,584927,Ryan McAidoo,Manchester City,manchester city,manchester city,new_2026_110
fotmob,245555,Gerónimo Rulli,Manchester City,manchester city,manchester city,new_2026_111
fotmob,696365,Marcus Rashford,Manchester United,manchester united,manchester united,new_2026_112
opta,176297,Marcus Rashford,Manchester United,manchester united,manchester united,new_2026_112
whoscored,300299,Marcus Rashford,Manchester United,manchester united,manchester united,new_2026_112
fotmob,1695681,Aladji Bamba,Newcastle United,newcastle united,newcastle,new_2026_113
opta,632794,Aladji Bamba,Newcastle,newcastle,newcastle,new_2026_113
whoscored,546589,Aladji Bamba,Newcastle,newcastle,newcastle,new_2026_113
fotmob,958010,Amar Dedic,Newcastle United,newcastle united,newcastle,new_2026_114
opta,463726,Amar Dedic,Newcastle,newcastle,newcastle,new_2026_114
whoscored,418203,Amar Dedic,Newcastle,newcastle,newcastle,new_2026_114
fotmob,1624586,Bazoumana Touré,Newcastle United,newcastle united,newcastle,new_2026_115
opta,611665,Bazoumana Touré,Newcastle,newcastle,newcastle,new_2026_115
whoscored,551965,Bazoumana Touré,Newcastle,newcastle,newcastle,new_2026_115
fotmob,1186978,Lukás Hornícek,Newcastle United,newcastle united,newcastle,new_2026_116
opta,470551,Lukás Hornícek,Newcastle,newcastle,newcastle,new_2026_116
whoscored,415682,Lukás Hornícek,Newcastle,newcastle,newcastle,new_2026_116
fotmob,1643770,Sean Steur,Newcastle United,newcastle united,newcastle,new_2026_117
opta,636852,Sean Steur,Newcastle,newcastle,newcastle,new_2026_117
whoscored,552573,Sean Steur,Newcastle,newcastle,newcastle,new_2026_117
fotmob,1438570,Ewen Jaouen,Newcastle United,newcastle united,newcastle,new_2026_118
fotmob,1425182,Ousmane Diomande,Nottingham Forest,nottingham forest,nottingham forest,new_2026_119
opta,568420,Ousmane Diomande,Nottingham Forest,nottingham forest,nottingham forest,new_2026_119
fotmob,1185211,Mamadou Sangaré,Brentford,brentford,brentford,new_2026_12
opta,513545,Mamadou Sangaré,Brentford,brentford,brentford,new_2026_12
whoscored,442971,Mamadou Sangaré,Brentford,brentford,brentford,new_2026_12
fotmob,620027,Xaver Schlager,Nottingham Forest,nottingham forest,nottingham forest,new_2026_120
opta,204561,Xaver Schlager,Nottingham Forest,nottingham forest,nottingham forest,new_2026_120
whoscored,262856,Xaver Schlager,Nottingham Forest,nottingham forest,nottingham forest,new_2026_120
fotmob,1811265,Jules Ahoka,Sunderland,sunderland,sunderland,new_2026_121
opta,696104,Jules Ahoka,Sunderland,sunderland,sunderland,new_2026_121
fotmob,277771,Thomas Meunier,Sunderland,sunderland,sunderland,new_2026_122
opta,93605,Thomas Meunier,Sunderland,sunderland,sunderland,new_2026_122
whoscored,104376,Thomas Meunier,Sunderland,sunderland,sunderland,new_2026_122
fotmob,966027,Conor Gallagher,Tottenham Hotspur,tottenham hotspur,tottenham,new_2026_123
opta,232787,Conor Gallagher,Tottenham,tottenham,tottenham,new_2026_123
whoscored,375621,Conor Gallagher,Tottenham,tottenham,tottenham,new_2026_123
fotmob,1407250,Mikey Moore,Tottenham Hotspur,tottenham hotspur,tottenham,new_2026_124
opta,499721,Mikey Moore,Tottenham,tottenham,tottenham,new_2026_124
whoscored,526481,Mikey Moore,Tottenham,tottenham,tottenham,new_2026_124
fotmob,1254170,Amario Cozier-Duberry,Brighton and Hove Albion,brighton and hove albion,brighton,new_2026_13
opta,519324,Amario Cozier-Duberry,Brighton,brighton,brighton,new_2026_13
fotmob,1079456,Costinha,Brighton and Hove Albion,brighton and hove albion,brighton,new_2026_14
opta,451490,Costinha,Brighton,brighton,brighton,new_2026_14
whoscored,395954,Costinha,Brighton,brighton,brighton,new_2026_14
fotmob,1215410,Ibrahim Osman,Brighton and Hove Albion,brighton and hove albion,brighton,new_2026_15
opta,612855,Ibrahim Osman,Brighton,brighton,brighton,new_2026_15
whoscored,519755,Ibrahim Osman,Brighton,brighton,brighton,new_2026_15
fotmob,1178324,Jaouen Hadjam,Brighton and Hove Albion,brighton and hove albion,brighton,new_2026_16
opta,512123,Jaouen Hadjam,Brighton,brighton,brighton,new_2026_16
