source,source_native_id,source_name,canonical_player_id,matched_to_master
opta,516211,Abdallah Sima,516211,True
opta,619501,Abdelhamid Aït Boudlal,619501,True
opta,475344,Abner Vinícius,475344,True
opta,634263,Aboubakar Nagida,634263,True
opta,750207,Aboulaye Camara,opta_new_750207,False
opta,223760,Achraf Hakimi,223760,True
opta,624926,Adama Camara,624926,True
opta,729203,Adil Bourabaa,opta_new_729203,False
opta,149588,Adrien Monfray,opta_new_149588,False
opta,115961,Adrien Thomasson,115961,True
opta,240864,Ahmed Touba,opta_new_240864,False
opta,154043,Ainsley Maitland-Niles,154043,True
opta,250182,Aiyegun Tosin,250182,True
opta,199663,Alec Georgen,opta_new_199663,False
opta,161950,Aleksandr Golovin,161950,True
opta,482549,Alexandre Lauray,opta_new_482549,False
opta,471437,Alexandre Phliponeau,opta_new_471437,False
opta,616227,Alexis Vossah,616227,True
opta,512253,Alexsandro Ribeiro,512253,True
opta,218244,Amadou Haidara,218244,True
opta,501332,Amine El Ouazzani,opta_new_501332,False
opta,247400,Amine Gouiri,247400,True
opta,229608,Amine Harit,229608,True
opta,532112,Amine Sbaï,532112,True
opta,538786,Amir Richardson,opta_new_538786,False
opta,466404,Andrew Omobamidele,466404,True
opta,622024,Andrija Bulatovic,622024,True
opta,209041,Angel Gomes,209041,True
opta,703779,Anis Ouzenadji,opta_new_703779,False
opta,722369,Anis Soubeir,opta_new_722369,False
opta,634346,Anthony Bermont,634346,True
opta,59957,Anthony Lopes,59957,True
opta,489887,Anthony Rouault,489887,True
opta,538452,Antoine Mendy,538452,True
opta,444395,Antoine Mille,opta_new_444395,False
opta,221456,Antoine Rabillard,opta_new_221456,False
opta,669341,Aristide Zossou,opta_new_669341,False
opta,235050,Arnaud Nordin,235050,True
opta,651819,Arsène Kouassi,651819,True
opta,606371,Arthur Avom,606371,True
opta,549914,Arthur Piedfort,opta_new_549914,False
opta,548831,Axel Camblan,548831,True
opta,41189,Axel Witsel,41189,True
opta,672306,Aymen Amaaouch,opta_new_672306,False
opta,219268,Ayumu Seko,219268,True
opta,465681,Bandiougou Fadiga,465681,True
opta,737638,Bané Diatta,737638,True
opta,574035,Basar Önal,opta_new_574035,False
opta,55948,Benjamin André,55948,True
opta,648131,Benjamin Brantlind,opta_new_648131,False
opta,534317,Beraldo,534317,True
opta,424992,Berke Özer,424992,True
opta,437670,Billal Brahimi,437670,True
opta,619372,Brad-Hamilton Mantsounga,619372,True
opta,546635,Bradley Locko,546635,True
opta,174969,Branco van den Boomen,174969,True
opta,102836,Brice Samba,102836,True
opta,223353,Bryan Reynolds,opta_new_223353,False
opta,432711,CJ Egan-Riley,432711,True
opta,180182,Calvin Verdonk,180182,True
opta,209171,Carlens Arcus,209171,True
opta,492373,Charlie Cresswell,492373,True
opta,672304,Christ Batola,opta_new_672304,False
