source,name,native_id,master_team
opta,Aarón Martín,234369,Genoa
opta,Abdoulaye Faye,631935,Lorient
opta,Adam Aznou,499300,Everton
opta,Alejandro Grimaldo,106004,Bayer Leverkusen
opta,Andrés García,606798,Aston Villa
opta,Angeliño,145235,Roma
opta,Anthony Gordon,232826,Newcastle
opta,Arouna Sangante,509285,Le Havre
opta,Axel Tape,669592,Bayer Leverkusen
opta,Aïssa Mandi,86813,Lille
opta,Bernardo Silva,165809,Manchester City
opta,Cristian Romero,221632,Tottenham
opta,Denzel Dumfries,199432,Inter
opta,Enes Ünal,168636,Bournemouth
opta,Facundo Buonanotte,536916,Leeds
opta,Félix Correia,449991,Lille
opta,Gabriel Jesus,205651,Arsenal
opta,Harvey Elliott,444884,Aston Villa
opta,Ibrahima Konaté,204716,Liverpool
opta,Iván Azón,503798,Como
opta,Jonathan David,421821,Juventus
opta,Karim Adeyemi,453750,Borussia Dortmund
opta,Lee Kang-In,451358,Paris Saint-Germain
opta,Mamadou Sarr,574458,Strasbourg
opta,Marc Cucurella,179268,Chelsea
opta,Matteo Prati,588222,Torino
opta,Orel Mangala,179519,Lyon
opta,Pedro Felipe,617105,Sassuolo
opta,Petar Ratkov,530193,Lazio
opta,Pierre-Emerick Aubameyang,54694,Marseille
opta,Péter Gulácsi,46506,RB Leipzig
opta,Rodri,220566,Manchester City
opta,Romain Del Castillo,219873,Brest
opta,Saba Sazonov,492977,Torino
opta,Yan Diomande,692871,RB Leipzig
opta,Yassir Zabiri,652987,Rennes
opta,Youssouf Fofana,461913,AC Milan
whoscored,Jonathan David,383855,Juventus
whoscored,Pierre-Emerick Aubameyang,44120,Marseille
whoscored,Lee Kang-In,367780,Paris Saint-Germain
whoscored,Anthony Gordon,349669,Newcastle
whoscored,Karim Adeyemi,392646,Borussia Dortmund
whoscored,Alejandro Grimaldo,107252,Bayer Leverkusen
whoscored,Péter Gulácsi,67369,RB Leipzig
whoscored,Cristian Romero,323663,Tottenham
whoscored,Yassir Zabiri,538158,Rennes
whoscored,Félix Correia,412831,Lille
whoscored,Aïssa Mandi,90115,Lille
whoscored,Rodri,303139,Manchester City
whoscored,Gabriel Jesus,279379,Arsenal
whoscored,Yan Diomande,557000,RB Leipzig
whoscored,Youssouf Fofana,362470,AC Milan
whoscored,Mamadou Sarr,467913,Strasbourg
whoscored,Ibrahima Konaté,345957,Liverpool
whoscored,Denzel Dumfries,322153,Inter
whoscored,Bernardo Silva,136741,Manchester City
whoscored,Andrés García,469329,Aston Villa
whoscored,Orel Mangala,344073,Lyon
whoscored,Marc Cucurella,363496,Chelsea
whoscored,Enes Ünal,134695,Bournemouth
whoscored,Matteo Prati,447544,Torino
whoscored,Arouna Sangante,486031,Le Havre
whoscored,Romain Del Castillo,300291,Brest
whoscored,Abdoulaye Faye,498812,Lorient
whoscored,Harvey Elliott,363982,Aston Villa
whoscored,Aarón Martín,323546,Genoa
whoscored,Petar Ratkov,476789,Lazio
whoscored,Pedro Felipe,478316,Sassuolo
whoscored,Angeliño,255089,Roma
fotmob,Enes Ünal,464486,Bournemouth
fotmob,Orel Mangala,765693,Lyon
fotmob,Saba Sazonov,1179368,Torino
fotmob,Andrés García,1430406,Aston Villa
fotmob,Alejandro Grimaldo,288406,Bayer Leverkusen
fotmob,Kang-In Lee,940976,Paris Saint-Germain
fotmob,Altay Bayindir,866967,Manchester United
fotmob,Abdoulaye Faye,1555492,Lorient
fotmob,Pierre-Emerick Aubameyang,150565,Marseille
fotmob,Angeliño,603537,Roma
fotmob,Facundo Buonanotte,1336566,Leeds
fotmob,Aïssa Mandi,210683,Lille
fotmob,Rodri,675088,Manchester City
fotmob,Anthony Gordon,906937,Newcastle
fotmob,Karim Adeyemi,959594,Borussia Dortmund
fotmob,Péter Gulácsi,151001,RB Leipzig
fotmob,Yassir Zabiri,1640985,Rennes
fotmob,Pedro Felipe,1644302,Sassuolo
fotmob,Bernardo Silva,488139,Manchester City
fotmob,Denzel Dumfries,593118,Inter
fotmob,Ibrahima Konaté,820140,Liverpool
fotmob,Marc Cucurella,873289,Chelsea
fotmob,Yan Diomande,1735453,RB Leipzig
fotmob,Arouna Sangante,1244272,Le Havre
fotmob,Matteo Prati,1396089,Torino
fotmob,Mamadou Sarr,1426170,Strasbourg
fotmob,Cristian Romero,789066,Tottenham
fotmob,Romain Del Castillo,696263,Brest
fotmob,Jonathan David,939569,Juventus
fotmob,Félix Correia,942358,Lille
fotmob,Youssouf Fofana,954621,AC Milan
fotmob,Altay Bayındır,866967,Manchester United
fotmob,Iván Azon,1203946,Como
fotmob,Petar Ratkov,1302821,Lazio
fotmob,Adam Aznou,1573563,Everton
fotmob,Axel Tape,1695701,Bayer Leverkusen
fotmob,Aarón Martín,684981,Genoa
fotmob,Gabriel Jesus,576165,Arsenal
fotmob,Harvey Elliott,963964,Aston Villa
