source,native_id,name,team_name,team_norm,team_cluster,cluster_id
fotmob,1300329,Calvin Brackelmann,FC Augsburg,fc augsburg,augsburg,new_2026_0
opta,585070,Calvin Brackelmann,Augsburg,augsburg,augsburg,new_2026_0
whoscored,445983,Calvin Brackelmann,Augsburg,augsburg,augsburg,new_2026_0
fotmob,1161211,Fabian Rieder,FC Augsburg,fc augsburg,augsburg,new_2026_1
opta,449787,Fabian Rieder,Augsburg,augsburg,augsburg,new_2026_1
whoscored,404193,Fabian Rieder,Augsburg,augsburg,augsburg,new_2026_1
fotmob,1395704,Guéla Doué,Bayer 04 Leverkusen,bayer 04 leverkusen,bayer leverkusen,new_2026_10
opta,503720,Guéla Doué,Bayer Leverkusen,bayer leverkusen,bayer leverkusen,new_2026_10
whoscored,447449,Guéla Doué,Bayer Leverkusen,bayer leverkusen,bayer leverkusen,new_2026_10
fotmob,1175933,Luca Philipp,TSG 1899 Hoffenheim,tsg 1899 hoffenheim,hoffenheim,new_2026_100
fotmob,622091,Borna Sosa,1. FC Köln,1 fc koln,koln,new_2026_101
opta,218364,Borna Sosa,Koln,koln,koln,new_2026_101
fotmob,771630,Gideon Mensah,1. FC Köln,1 fc koln,koln,new_2026_102
opta,229670,Gideon Mensah,Koln,koln,koln,new_2026_102
whoscored,402749,Gideon Mensah,FC Koln,fc koln,koln,new_2026_102
fotmob,916092,Imad Rondić,1. FC Köln,1 fc koln,koln,new_2026_103
opta,430502,Imad Rondic,Koln,koln,koln,new_2026_103
whoscored,401632,Imad Rondic,FC Koln,fc koln,koln,new_2026_103
fotmob,1829438,Jonathan Friemel,1. FC Köln,1 fc koln,koln,new_2026_104
opta,685509,Jonathan Friemel,Koln,koln,koln,new_2026_104
fotmob,784175,Luka Lochoshvili,1. FC Köln,1 fc koln,koln,new_2026_105
opta,211265,Luka Lochoshvili,Koln,koln,koln,new_2026_105
whoscored,404262,Luka Lochoshvili,FC Koln,fc koln,koln,new_2026_105
fotmob,1407250,Mikey Moore,1. FC Köln,1 fc koln,koln,new_2026_106
opta,499721,Mikey Moore,Koln,koln,koln,new_2026_106
whoscored,526481,Mikey Moore,FC Koln,fc koln,koln,new_2026_106
fotmob,1527363,Paul Okon-Engstler,1. FC Köln,1 fc koln,koln,new_2026_107
opta,550966,Paul Okon-Engstler,Koln,koln,koln,new_2026_107
whoscored,570078,Paul Okon-Engstler,FC Koln,fc koln,koln,new_2026_107
fotmob,1665352,Reigan Heskey,1. FC Köln,1 fc koln,koln,new_2026_108
opta,580921,Reigan Heskey,Koln,koln,koln,new_2026_108
whoscored,534462,Reigan Heskey,FC Koln,fc koln,koln,new_2026_108
fotmob,885085,Thijs Dallinga,1. FC Köln,1 fc koln,koln,new_2026_109
opta,438590,Thijs Dallinga,Koln,koln,koln,new_2026_109
whoscored,379687,Thijs Dallinga,FC Koln,fc koln,koln,new_2026_109
fotmob,942379,Miguel Gutiérrez,Bayer 04 Leverkusen,bayer 04 leverkusen,bayer leverkusen,new_2026_11
opta,248498,Miguel Gutiérrez,Bayer Leverkusen,bayer leverkusen,bayer leverkusen,new_2026_11
whoscored,395788,Miguel Gutiérrez,Bayer Leverkusen,bayer leverkusen,bayer leverkusen,new_2026_11
fotmob,41087,Ron-Robert Zieler,1. FC Köln,1 fc koln,koln,new_2026_110
fotmob,248437,Alexander Schwolow,1. FSV Mainz 05,1 fsv mainz 05,mainz,new_2026_111
opta,94196,Alexander Schwolow,Mainz,mainz,mainz,new_2026_111
whoscored,97743,Alexander Schwolow,Mainz 05,mainz 05,mainz,new_2026_111
fotmob,1362417,Fabio Gruber,1. FSV Mainz 05,1 fsv mainz 05,mainz,new_2026_112
opta,515169,Fabio Gruber,Mainz,mainz,mainz,new_2026_112
whoscored,552278,Fabio Gruber,Mainz 05,mainz 05,mainz,new_2026_112
fotmob,1347994,Otto Ruoppi,1. FSV Mainz 05,1 fsv mainz 05,mainz,new_2026_113
opta,573117,Otto Ruoppi,Mainz,mainz,mainz,new_2026_113
whoscored,566595,Otto Ruoppi,Mainz 05,mainz 05,mainz,new_2026_113
fotmob,2140397,Rael Nakuzola,1. FSV Mainz 05,1 fsv mainz 05,mainz,new_2026_114
opta,750292,Rael Nakuzola,Mainz,mainz,mainz,new_2026_114
whoscored,645133,Rael Nakuzola,Mainz 05,mainz 05,mainz,new_2026_114
fotmob,495222,Sheraldo Becker,1. FSV Mainz 05,1 fsv mainz 05,mainz,new_2026_115
opta,173547,Sheraldo Becker,Mainz,mainz,mainz,new_2026_115
whoscored,137227,Sheraldo Becker,Mainz 05,mainz 05,mainz,new_2026_115
fotmob,557325,Stefan Posch,1. FSV Mainz 05,1 fsv mainz 05,mainz,new_2026_116
opta,191803,Stefan Posch,Mainz,mainz,mainz,new_2026_116
whoscored,333741,Stefan Posch,Mainz 05,mainz 05,mainz,new_2026_116
fotmob,1283288,Maximilian Kinzig,1. FSV Mainz 05,1 fsv mainz 05,mainz,new_2026_117
fotmob,1257826,Nahuel Noll,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_118
whoscored,416165,Nahuel Noll,Paderborn,paderborn,paderborn,new_2026_118
fotmob,1426060,Laurin Curda,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_119
whoscored,486781,Laurin Curda,Paderborn,paderborn,paderborn,new_2026_119
fotmob,923498,Moussa Diaby,Bayer 04 Leverkusen,bayer 04 leverkusen,bayer leverkusen,new_2026_12
opta,243557,Moussa Diaby,Bayer Leverkusen,bayer leverkusen,bayer leverkusen,new_2026_12
whoscored,353397,Moussa Diaby,Bayer Leverkusen,bayer leverkusen,bayer leverkusen,new_2026_12
fotmob,1415373,Tjark Scheller,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_120
whoscored,502544,Tjark Scheller,Paderborn,paderborn,paderborn,new_2026_120
fotmob,1520469,Jano ter Horst,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_121
whoscored,494154,Jano ter Horst,Paderborn,paderborn,paderborn,new_2026_121
fotmob,1362492,Santiago Castañeda,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_122
whoscored,531855,Santiago Castañeda,Paderborn,paderborn,paderborn,new_2026_122
fotmob,784225,Raphael Obermair,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_123
whoscored,336037,Raphael Obermair,Paderborn,paderborn,paderborn,new_2026_123
fotmob,1515976,Mattes Hansen,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_124
whoscored,487066,Mattes Hansen,Paderborn,paderborn,paderborn,new_2026_124
fotmob,1367587,Laurin Ulrich,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_125
whoscored,444292,Laurin Ulrich,Paderborn,paderborn,paderborn,new_2026_125
fotmob,1276453,Gabriel Vidovic,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_126
whoscored,424368,Gabriel Vidovic,Paderborn,paderborn,paderborn,new_2026_126
fotmob,706500,Steffen Tigges,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_127
whoscored,301066,Steffen Tigges,Paderborn,paderborn,paderborn,new_2026_127
fotmob,1321553,Stefano Marino,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_128
whoscored,429675,Stefano Marino,Paderborn,paderborn,paderborn,new_2026_128
fotmob,1520593,Jonah Sticker,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_129
whoscored,495281,Jonah Sticker,Paderborn,paderborn,paderborn,new_2026_129
opta,492963,Ismael Saibari,Bayern Munich,bayern munich,bayern munich,new_2026_13
whoscored,404776,Ismael Saibari,Bayern Munich,bayern munich,bayern munich,new_2026_13
fotmob,658444,Tom Baack,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_130
whoscored,306961,Tom Baack,Paderborn,paderborn,paderborn,new_2026_130
fotmob,1801952,Niklas Mohr,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_131
whoscored,577575,Niklas Mohr,Paderborn,paderborn,paderborn,new_2026_131
fotmob,950822,Oliver Batista Meier,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_132
whoscored,389378,Oliver Batista Meier,Paderborn,paderborn,paderborn,new_2026_132
fotmob,1701615,Clemens Lippmann,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_133
whoscored,625161,Clemens Lippmann,Paderborn,paderborn,paderborn,new_2026_133
fotmob,659046,Markus Schubert,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_134
fotmob,1580112,Deniz Zeitler,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_135
fotmob,1586401,Luka Duric,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_136
fotmob,1276453,Gabriel Vidović,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_137
fotmob,1586401,Luka Djuric,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_138
fotmob,767790,Felix Götze,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_139
fotmob,1254234,Ethan Nwaneri,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_14
opta,499175,Ethan Nwaneri,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_14
whoscored,456771,Ethan Nwaneri,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_14
fotmob,1643776,Abdoul Koné,RB Leipzig,rb leipzig,rb leipzig,new_2026_140
opta,657512,Abdoul Koné,RB Leipzig,rb leipzig,rb leipzig,new_2026_140
fotmob,1387389,Arthur Vermeeren,RB Leipzig,rb leipzig,rb leipzig,new_2026_141
opta,578612,Arthur Vermeeren,RB Leipzig,rb leipzig,rb leipzig,new_2026_141
whoscored,445430,Arthur Vermeeren,RB Leipzig,rb leipzig,rb leipzig,new_2026_141
fotmob,1430151,Brajan Gruda,RB Leipzig,rb leipzig,rb leipzig,new_2026_142
opta,513433,Brajan Gruda,RB Leipzig,rb leipzig,rb leipzig,new_2026_142
whoscored,471784,Brajan Gruda,RB Leipzig,rb leipzig,rb leipzig,new_2026_142
fotmob,704523,Christopher Nkunku,RB Leipzig,rb leipzig,rb leipzig,new_2026_143
opta,213198,Christopher Nkunku,RB Leipzig,rb leipzig,rb leipzig,new_2026_143
whoscored,300945,Christopher Nkunku,RB Leipzig,rb leipzig,rb leipzig,new_2026_143
fotmob,1412137,Marc Guiu,RB Leipzig,rb leipzig,rb leipzig,new_2026_144
opta,499309,Marc Guiu,RB Leipzig,rb leipzig,rb leipzig,new_2026_144
whoscored,483208,Marc Guiu,RB Leipzig,rb leipzig,rb leipzig,new_2026_144
fotmob,1274060,Neil El Aynaoui,RB Leipzig,rb leipzig,rb leipzig,new_2026_145
opta,545286,Neil El Aynaoui,RB Leipzig,rb leipzig,rb leipzig,new_2026_145
whoscored,486734,Neil El Aynaoui,RB Leipzig,rb leipzig,rb leipzig,new_2026_145
whoscored,602560,Samba Konaté,RB Leipzig,rb leipzig,rb leipzig,new_2026_146
fotmob,450972,Leopold Zingerle,RB Leipzig,rb leipzig,rb leipzig,new_2026_147
fotmob,73409,Ørjan Håskjold Nyland,RB Leipzig,rb leipzig,rb leipzig,new_2026_148
fotmob,287894,Loris Karius,FC Schalke 04,fc schalke 04,schalke 04,new_2026_149
whoscored,107176,Loris Karius,Schalke 04,schalke 04,schalke 04,new_2026_149
fotmob,1215014,Giannis Konstantelias,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_15
opta,477510,Giannis Konstantelias,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_15
whoscored,476927,Giannis Konstantelias,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_15
fotmob,725655,Nikola Katic,FC Schalke 04,fc schalke 04,schalke 04,new_2026_150
whoscored,363666,Nikola Katic,Schalke 04,schalke 04,schalke 04,new_2026_150
fotmob,1155066,Satoshi Tanaka,FC Schalke 04,fc schalke 04,schalke 04,new_2026_151
whoscored,454870,Satoshi Tanaka,Schalke 04,schalke 04,schalke 04,new_2026_151
fotmob,1047664,Adil Aouchiche,FC Schalke 04,fc schalke 04,schalke 04,new_2026_152
whoscored,382491,Adil Aouchiche,Schalke 04,schalke 04,schalke 04,new_2026_152
fotmob,1249185,Soufian El-Faouzi,FC Schalke 04,fc schalke 04,schalke 04,new_2026_153
whoscored,414038,Soufiane El-Faouzi,Schalke 04,schalke 04,schalke 04,new_2026_153
fotmob,518346,Robin Gosens,FC Schalke 04,fc schalke 04,schalke 04,new_2026_154
whoscored,141726,Robin Gosens,Schalke 04,schalke 04,schalke 04,new_2026_154
fotmob,794619,Hasan Kuruçay,FC Schalke 04,fc schalke 04,schalke 04,new_2026_155
whoscored,435993,Hasan Kuruçay,Schalke 04,schalke 04,schalke 04,new_2026_155
fotmob,785739,Timo Becker,FC Schalke 04,fc schalke 04,schalke 04,new_2026_156
whoscored,323169,Timo Becker,Schalke 04,schalke 04,schalke 04,new_2026_156
fotmob,1040889,Junior Dina Ebimbe,FC Schalke 04,fc schalke 04,schalke 04,new_2026_157
whoscored,372927,Junior Dina Ebimbe,Schalke 04,schalke 04,schalke 04,new_2026_157
fotmob,469763,Kenan Karaman,FC Schalke 04,fc schalke 04,schalke 04,new_2026_158
whoscored,140646,Kenan Karaman,Schalke 04,schalke 04,schalke 04,new_2026_158
fotmob,861668,Dejan Ljubicic,FC Schalke 04,fc schalke 04,schalke 04,new_2026_159
whoscored,363662,Dejan Ljubicic,Schalke 04,schalke 04,schalke 04,new_2026_159
fotmob,1479742,Joane Gadou,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_16
opta,592891,Joane Gadou,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_16
whoscored,513664,Joane Gadou,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_16
fotmob,1659420,Vitalie Becker,FC Schalke 04,fc schalke 04,schalke 04,new_2026_160
whoscored,531850,Vitalie Becker,Schalke 04,schalke 04,schalke 04,new_2026_160
fotmob,1842512,Luca Vozar,FC Schalke 04,fc schalke 04,schalke 04,new_2026_161
whoscored,599169,Luca Vozar,Schalke 04,schalke 04,schalke 04,new_2026_161
fotmob,860056,Moussa Sylla,FC Schalke 04,fc schalke 04,schalke 04,new_2026_162
whoscored,344041,Moussa Sylla,Schalke 04,schalke 04,schalke 04,new_2026_162
fotmob,1755657,Mertcan Ayhan,FC Schalke 04,fc schalke 04,schalke 04,new_2026_163
whoscored,560433,Mertcan Ayhan,Schalke 04,schalke 04,schalke 04,new_2026_163
fotmob,560976,Janik Bachmann,FC Schalke 04,fc schalke 04,schalke 04,new_2026_164
whoscored,308802,Janik Bachmann,Schalke 04,schalke 04,schalke 04,new_2026_164
fotmob,15403,Edin Dzeko,FC Schalke 04,fc schalke 04,schalke 04,new_2026_165
whoscored,24845,Edin Dzeko,Schalke 04,schalke 04,schalke 04,new_2026_165
fotmob,820974,Ron Schallenberg,FC Schalke 04,fc schalke 04,schalke 04,new_2026_166
whoscored,401089,Ron Schallenberg,Schalke 04,schalke 04,schalke 04,new_2026_166
fotmob,215159,Kevin Müller,FC Schalke 04,fc schalke 04,schalke 04,new_2026_167
fotmob,701149,Maximilian Wöber,FC Schalke 04,fc schalke 04,schalke 04,new_2026_168
